Province name,"Candidate names, President and Vice President",Percentage of valid votes
Aceh,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.54
Bali,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.71
Bangka Belitung,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.67
Banten,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.57
Bengkulu,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.55
DI. Yogyakarta,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.56
DKI Jakarta,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.53
Gorontalo,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.63
Jambi,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.51
Jawa Barat,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.6
Jawa Tengah,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.67
Jawa Timur,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.53
Kalimantan Barat,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.6
Kalimantan Selatan,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.5
Kalimantan Tengah,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.6
Kalimantan Timur,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.63
Kepulauan Riau,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.6
Lampung,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.53
Maluku,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.51
Maluku Utara,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.54
Nusa Tenggara Barat,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.72
Nusa Tenggara Timur,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.66
Papua,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.72
Papua Barat,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.68
Riau,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.5
Sulawesi Barat,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.73
Sulawesi Selatan,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.71
Sulawesi Tengah,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.55
Sulawesi Tenggara,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.55
Sulawesi Utara,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.54
Sumatera Barat,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.77
Sumatera Selatan,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,0.51
Sumatera Utara,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,0.55
